battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range
1236,1,2.3,1,11,0,46,0.6,179,3,13,13,765,3792,10,0,11,1,0,1,3
1161,1,1.0,1,11,1,17,0.2,162,3,19,1672,1915,2693,19,1,5,0,1,0,2
1906,1,0.7,0,6,0,50,0.3,118,6,18,359,1464,429,7,10,20,0,1,1,0
741,1,2.7,0,14,0,27,0.5,187,1,1,1343,557,1088,16,2,7,0,0,1,0
1357,1,2.4,0,18,1,7,0.9,96,1,3,1471,1687,1939,19,1,3,1,1,0,1
1313,1,1.0,1,5,0,51,0.4,161,6,19,1657,1104,2024,17,15,12,1,1,1,1
1210,0,1.2,0,6,1,55,0.3,142,2,8,791,1352,1608,15,13,17,1,0,1,1
1711,0,2.9,0,6,1,37,0.8,105,4,12,1293,1784,946,18,16,6,0,1,0,1
900,0,2.3,0,16,1,47,1.0,191,6,1,51,1755,654,8,17,7,1,1,0,0
1930,0,2.0,0,1,0,11,0.5,172,5,2,876,704,798,19,2,7,0,0,1,0
997,1,1.3,0,17,1,23,0.1,81,1,8,1890,1048,3814,6,15,17,1,1,0,3
1317,1,1.2,0,15,1,24,0.7,90,6,15,310,908,1736,5,0,20,1,1,1,1
1281,1,0.6,1,9,0,50,0.5,86,1,16,296,1869,3854,7,7,18,1,0,0,3
1774,0,2.3,1,11,1,24,0.7,130,2,18,1372,1670,1509,14,5,6,1,1,1,2
1158,0,0.6,0,17,1,47,0.3,130,1,4,1001,1471,1421,8,4,18,0,0,1,1
926,0,0.5,0,15,1,21,0.1,167,5,4,892,587,2088,14,13,7,0,1,0,1
532,1,2.3,0,5,1,39,0.4,161,6,11,486,1703,3799,6,2,18,0,1,0,2
1045,0,2.9,1,1,1,15,0.7,81,6,11,335,1340,2363,15,15,20,1,0,1,2
1739,0,2.4,0,13,1,37,0.5,137,2,0,1446,909,387,8,16,15,0,0,1,0
514,1,1.7,0,2,0,7,0.3,174,3,9,701,1163,1272,12,12,20,0,0,0,0
1844,1,1.7,1,1,1,48,0.5,188,2,18,1523,1168,3927,6,1,4,1,0,1,3
1314,1,1.6,0,19,0,3,0.8,115,3,3,869,943,834,19,11,14,1,0,0,0
710,0,1.3,0,9,0,64,0.2,85,2,17,778,1863,3384,10,11,2,0,1,1,2
953,0,1.8,0,13,1,54,0.7,98,6,9,451,1875,3731,14,7,14,1,1,0,2
1331,0,1.6,0,4,0,38,0.7,121,7,11,1291,576,1058,12,6,8,1,1,0,1
973,0,2.0,1,2,1,59,0.4,133,7,13,558,1902,2348,13,8,20,1,1,1,2
662,1,2.7,1,1,0,52,1.0,122,2,14,1782,1105,2500,11,18,11,1,1,1,2
1498,0,3.0,0,7,0,10,0.9,90,1,13,800,1698,3227,6,0,16,1,0,1,3
1508,0,0.7,0,0,0,48,0.4,121,1,2,1597,1669,3244,17,9,7,1,1,0,3
678,1,1.5,0,8,1,25,0.1,115,7,6,921,1397,480,14,6,3,1,1,0,0
921,0,1.0,1,6,0,55,0.4,139,8,17,813,1614,1451,8,10,16,1,0,0,1
865,0,1.4,0,10,1,56,0.3,89,2,0,888,1521,3774,6,0,6,1,0,0,3
1489,0,1.2,0,11,0,62,0.6,175,8,15,865,1776,1580,18,17,15,1,1,1,1
1595,0,0.9,1,6,0,30,0.9,130,5,10,939,1135,1176,9,8,10,1,0,0,1
1590,0,2.4,0,9,0,14,0.9,118,2,2,1739,1608,2610,18,18,20,0,0,1,3
1908,1,1.7,0,1,0,9,0.4,189,3,2,1378,1967,986,16,2,8,0,0,0,1
1652,1,2.8,0,6,1,12,0.5,170,3,20,67,1919,806,19,11,9,0,1,0,0
981,0,0.6,1,19,0,64,0.1,96,7,0,114,721,3242,14,12,16,0,0,0,2
661,0,0.7,1,19,1,38,0.6,97,2,0,44,1246,698,7,15,16,1,0,0,0
1421,0,1.5,1,9,0,24,0.2,80,2,0,1354,1264,3591,5,0,4,0,0,0,3
1874,1,0.7,0,18,1,30,0.9,147,6,13,403,1435,1191,8,12,16,1,0,0,0
1962,1,1.2,1,10,1,12,0.9,122,3,19,755,1469,655,11,2,11,1,0,1,1
845,1,3.0,1,2,0,37,0.3,125,3,3,1622,1770,3030,14,8,20,0,0,0,3
854,0,1.0,0,17,0,28,0.7,141,7,16,258,1297,916,18,1,13,1,0,1,0
556,0,1.0,0,8,1,52,0.6,145,8,15,300,1551,1628,7,1,16,0,1,0,1
711,0,1.9,0,12,0,3,0.8,80,5,4,155,1848,1570,14,14,8,1,0,1,0
1332,0,1.7,1,12,1,60,0.5,93,7,1,559,652,2155,6,13,7,1,1,0,1
1320,0,2.0,0,6,1,5,0.3,175,7,10,175,1463,2027,12,17,16,1,0,0,1
1056,1,1.4,0,14,1,28,0.7,195,5,1,1233,1050,987,6,13,2,0,1,0,0
964,0,2.6,1,10,1,23,0.2,181,7,2,1444,1857,1134,10,11,13,0,0,1,1
1744,1,0.8,0,7,1,47,0.6,189,1,9,361,1328,982,14,2,20,1,0,0,1
1190,1,1.6,1,5,1,43,0.3,136,1,17,1028,1403,463,16,14,20,0,0,0,0
1712,1,2.2,0,14,0,14,0.7,179,8,20,594,1631,2690,17,4,15,0,0,1,2
1944,0,2.7,0,4,1,32,0.8,186,2,13,157,862,2018,12,2,11,0,1,1,1
975,1,1.4,1,2,0,35,0.2,188,6,5,915,1314,661,8,13,17,1,1,1,0
804,0,1.9,1,17,0,31,0.5,98,4,6,1367,1658,1496,18,11,2,1,0,0,0
1929,0,0.7,0,6,1,3,0.8,97,7,12,447,1665,2755,19,2,17,1,0,1,2
1452,0,0.9,1,12,1,13,0.2,128,6,3,1545,841,1323,19,10,5,0,1,1,0
936,0,0.7,1,14,1,33,0.6,140,1,10,1946,1755,1755,16,13,15,1,1,0,2
1432,1,2.3,0,16,0,18,0.7,195,3,16,110,744,3039,16,9,8,0,1,0,2
1272,1,1.2,1,12,0,36,0.4,118,6,17,320,897,2768,6,13,16,1,1,1,2
1858,1,2.3,0,14,1,12,0.8,180,8,1,567,1784,2878,13,9,13,1,0,1,2
883,0,0.7,1,16,0,48,0.6,187,7,6,1666,1423,1684,11,6,19,0,1,0,2
1987,0,2.7,0,18,1,13,0.7,196,8,5,278,1312,2067,8,4,16,1,0,1,2
1904,1,2.6,0,0,0,42,0.2,102,8,11,921,1335,3422,6,4,19,0,0,1,3
771,0,0.7,1,14,1,54,0.1,109,8,3,1053,1952,3520,8,15,4,1,1,1,3
746,1,0.6,1,3,0,24,0.1,106,5,19,253,840,463,18,7,9,1,1,0,0
1299,1,0.6,0,17,0,10,0.9,168,3,19,82,948,3392,18,13,10,0,1,1,2
567,1,2.6,1,0,1,2,0.9,163,5,6,232,1234,3599,16,6,2,0,1,1,2
948,1,1.1,0,4,1,24,0.8,129,7,8,110,1767,3783,6,9,2,0,1,0,2
1152,0,1.9,1,3,1,9,0.3,90,4,9,981,1322,1261,15,11,2,1,1,0,1
1954,0,1.6,1,12,1,57,0.6,143,7,0,1836,1588,2132,6,9,16,1,1,0,3
1988,0,2.5,1,0,0,63,0.8,168,6,18,693,1725,415,15,14,10,0,1,1,0
727,0,1.7,1,0,1,63,0.7,137,2,16,503,1837,666,5,17,16,1,0,1,0
1837,0,1.8,1,10,0,60,0.2,112,8,6,460,1191,2361,9,16,17,1,0,0,2
636,1,3.0,1,19,1,38,0.9,151,7,11,1924,1186,1027,6,17,2,0,0,1,0
1622,0,0.9,1,10,0,22,0.2,159,5,7,1880,621,1095,19,0,18,0,1,1,1
1768,1,2.6,0,8,0,30,0.3,151,2,4,1271,620,1367,13,14,6,1,0,0,1
1836,1,0.6,1,13,0,18,0.9,185,2,6,908,1230,1974,18,13,9,1,0,1,2
835,1,1.7,1,11,1,54,0.5,117,7,2,313,1622,828,5,7,20,1,1,0,0
1840,0,2.7,0,7,1,29,0.4,153,1,17,1821,1756,3259,16,5,7,1,1,0,3
673,1,2.2,1,11,0,26,0.6,183,4,13,2,1112,2756,12,1,19,0,1,0,1
1278,0,2.2,1,0,1,45,1.0,105,5,19,321,1356,3218,12,15,11,0,1,1,2
1204,0,1.2,0,4,1,25,0.2,114,2,0,1330,1718,3722,18,15,2,0,1,1,3
973,0,1.5,0,13,1,24,0.8,85,7,13,359,977,2503,5,1,17,0,1,0,1
533,0,1.4,0,6,1,16,0.4,125,5,11,212,737,1609,19,11,2,0,0,0,0
1658,0,1.8,1,1,0,6,0.2,85,1,13,1168,1880,3916,5,10,14,1,0,1,3
1003,0,1.7,1,2,0,4,0.5,170,3,20,51,1318,2373,10,3,10,0,0,0,1
1492,1,1.3,1,17,1,27,0.6,90,4,8,529,733,1991,7,10,4,1,1,0,1
1115,0,1.3,1,6,0,64,0.3,163,2,2,1260,877,1813,12,15,11,0,1,0,1
1060,0,1.1,0,0,1,18,0.5,150,8,0,362,989,403,13,6,8,1,0,1,0
1829,1,1.4,1,14,0,42,0.7,199,3,10,1489,801,3833,14,13,3,1,1,1,3
641,1,0.9,0,10,0,22,0.6,122,5,3,185,1155,3323,16,18,12,1,0,1,2
1604,1,2.7,0,9,1,21,0.8,121,5,2,1202,1718,2874,16,8,2,1,1,0,3
1620,0,2.0,0,17,1,12,0.9,109,2,3,149,1606,1084,19,2,12,1,1,0,1
1069,1,0.8,1,6,1,37,0.5,145,5,5,1435,1874,3730,11,5,6,1,0,1,3
893,1,2.2,0,11,1,43,0.5,106,3,2,1476,1752,915,7,2,17,1,0,1,1
507,0,2.6,0,14,0,24,0.5,93,1,10,1558,966,1160,7,6,20,0,0,1,0
1905,0,1.1,0,12,1,35,0.6,194,4,13,553,587,518,9,12,19,1,0,1,0
1921,1,0.9,0,4,0,31,0.2,162,5,6,463,727,1334,14,3,19,1,1,1,1
861,0,0.5,1,13,0,19,0.4,94,1,2,1918,1687,1483,5,9,3,1,1,1,1
547,0,0.6,1,14,1,45,0.3,154,7,12,1430,1010,3231,19,18,11,1,1,0,3
684,1,2.4,1,2,0,36,0.4,116,6,1,359,1580,1476,19,5,6,0,1,0,0
601,1,3.0,1,3,1,6,1.0,101,3,15,57,1186,3833,7,16,3,0,0,1,2
1746,1,0.6,1,13,0,33,0.6,137,5,8,695,1841,1389,16,5,9,1,1,0,1
1837,1,2.4,1,2,1,26,0.5,175,3,8,1304,1261,2219,13,11,10,1,0,0,2
729,1,0.7,0,17,0,52,0.6,80,6,5,735,1849,2476,12,2,7,1,1,0,2
1620,0,2.0,1,2,0,21,0.7,122,2,5,1583,875,3359,16,5,4,0,0,1,3
768,0,2.4,1,19,0,62,0.5,191,5,3,980,1665,3069,13,16,9,0,1,0,3
1050,1,1.4,1,13,0,40,0.5,127,1,11,1943,1285,3503,9,11,4,1,1,1,3
1399,0,0.5,0,8,1,10,0.7,91,1,3,1707,785,3766,13,10,2,0,0,0,3
1579,0,2.0,0,5,1,27,0.2,131,3,14,924,850,695,7,9,10,1,0,1,0
1811,1,3.0,1,6,0,57,0.6,162,2,5,1636,970,608,8,4,3,1,0,1,0
567,1,1.1,1,14,1,18,0.6,200,4,11,878,732,1937,19,17,20,0,0,0,1
794,0,1.0,0,15,0,46,0.8,156,2,11,19,1903,818,7,7,17,1,1,1,0
920,0,0.8,1,4,1,51,1.0,86,2,13,604,818,2103,13,0,19,1,1,1,1
965,1,1.9,0,10,1,45,0.8,177,1,15,802,1396,2463,9,17,3,0,1,1,1
1997,0,2.0,1,19,0,7,0.6,174,8,11,1914,1355,1290,11,0,10,1,0,1,2
1666,1,2.5,0,5,1,25,0.3,158,6,17,1623,1307,623,8,16,17,1,0,0,1
980,1,2.4,0,13,0,23,0.6,188,2,5,287,1440,3866,13,5,12,0,0,0,3
1957,1,2.7,1,3,0,23,0.9,173,1,15,0,1872,1643,13,1,7,1,0,0,1
1248,0,2.5,1,16,0,57,0.9,108,7,7,1036,1950,3396,14,4,17,1,0,0,3
1251,1,1.1,0,3,1,2,0.8,130,6,13,1046,1810,2593,9,12,7,0,1,1,3
1150,0,1.9,0,5,0,35,0.3,141,8,10,1442,1189,2734,13,10,20,0,0,1,3
715,1,1.2,1,9,0,63,0.7,139,2,19,508,1590,3177,15,2,3,1,1,1,2
1901,0,1.3,0,7,0,57,0.9,157,3,5,1592,778,1248,15,5,15,1,1,0,1
520,0,2.8,1,3,0,40,0.7,164,1,10,809,1822,1070,13,4,2,0,1,1,0
761,1,2.2,1,12,1,64,0.7,92,4,3,656,793,3986,9,12,19,0,1,1,3
844,0,2.9,1,0,1,27,0.6,148,2,13,824,670,2756,12,16,8,1,1,1,2
918,1,1.5,0,19,0,40,0.7,84,1,0,1852,1742,1349,13,4,2,0,0,0,1
697,1,1.8,0,1,0,36,0.4,141,5,8,768,1635,2673,19,17,17,0,1,0,2
526,0,1.7,1,6,0,4,0.2,131,8,0,1099,707,1729,10,7,20,0,0,1,0
1516,0,0.8,0,18,0,4,0.8,104,6,6,1749,1947,3473,9,1,19,1,1,1,3
1953,1,1.1,1,3,1,58,0.9,199,7,10,35,667,2158,16,6,11,1,1,0,2
682,0,1.8,0,1,0,12,0.9,111,7,6,1052,573,1430,14,16,3,0,0,1,0
944,0,0.7,1,14,0,24,0.4,86,8,8,1389,1932,2840,11,15,6,1,1,1,2
1259,0,2.8,0,1,1,41,0.2,123,2,3,1772,834,3063,5,13,2,1,1,0,2
1891,0,0.8,1,17,1,38,0.4,171,3,15,120,851,1650,15,7,2,1,1,1,1
1541,1,1.0,1,9,0,34,0.9,81,5,16,1425,1690,3070,16,14,5,1,1,1,3
1649,0,2.4,0,17,0,63,0.7,139,7,9,1573,1410,1132,18,13,12,0,0,0,1
1371,1,0.7,0,4,1,51,1.0,130,7,1,688,1279,1151,12,15,16,0,1,0,1
1125,0,2.8,0,2,0,61,0.4,184,6,1,1463,1981,3349,12,10,13,0,1,1,3
799,1,2.3,0,19,0,43,0.6,80,3,14,967,629,2580,8,9,5,1,0,0,2
1796,0,0.7,0,15,1,63,0.8,82,3,19,1290,1887,387,11,18,13,0,1,0,1
1706,0,2.2,0,18,1,39,0.3,148,1,18,764,901,2783,5,17,6,0,1,0,3
537,1,2.1,1,6,1,36,1.0,101,3,8,347,1433,1400,12,10,10,1,0,0,0
1573,0,2.4,1,8,0,53,0.6,165,2,10,1624,985,1283,15,3,18,1,1,1,1
626,0,2.6,0,11,0,56,0.1,113,8,3,424,939,1843,16,7,4,0,0,0,0
1608,1,2.3,0,8,0,6,0.1,148,1,1,367,981,1947,14,9,18,1,0,1,2
1738,0,2.0,0,4,1,59,0.9,84,3,16,1737,1337,3594,17,12,7,0,1,0,3
696,0,1.3,1,7,1,45,0.7,163,8,8,1836,1815,1887,14,6,14,1,1,0,2
1150,0,2.2,0,12,0,58,0.8,142,8,10,1194,668,1366,16,0,6,1,1,0,0
685,1,2.9,0,0,1,47,0.8,80,4,7,1138,1492,3151,11,15,5,1,1,1,2
1350,1,2.0,0,6,0,60,0.5,112,4,6,707,1789,2287,14,18,10,1,0,1,2
1891,1,2.2,1,5,0,19,0.8,87,5,20,1199,1601,258,14,1,9,1,1,1,0
621,1,1.6,0,1,1,13,0.9,85,7,17,1194,1969,2622,13,6,11,0,1,0,1
1096,0,2.4,1,2,0,14,0.3,164,7,14,1013,520,2131,13,8,6,0,1,0,1
1959,0,3.0,0,9,0,17,0.8,131,5,8,1284,1043,2406,16,14,20,1,1,0,2
951,0,0.9,0,2,0,15,0.4,177,3,15,1087,1140,945,8,14,14,0,0,0,1
698,0,1.0,0,6,1,29,0.4,111,3,7,1724,1302,2046,9,6,17,1,1,0,1
1232,0,1.8,0,11,0,14,0.5,166,6,10,1309,976,2677,12,5,16,0,1,0,3
1262,1,1.7,1,17,0,11,0.9,154,7,3,755,879,2789,14,7,15,1,1,0,2
1494,1,1.9,0,1,1,34,0.1,160,1,14,1284,1777,2802,12,4,4,0,0,0,2
970,1,0.6,0,8,0,51,0.5,180,7,1,451,848,3990,7,8,13,0,0,0,3
1933,1,1.5,0,2,0,10,0.7,165,4,15,419,1929,2131,17,4,19,1,1,1,2
1281,1,2.0,1,8,1,34,0.2,170,2,12,1621,555,1865,13,1,3,0,1,0,1
929,0,2.0,0,9,1,43,0.8,169,1,1,1142,1134,2284,11,13,10,0,1,1,2
1940,1,2.1,1,15,1,46,0.9,134,3,10,105,1413,1487,18,14,5,0,1,1,1
1887,1,2.3,1,8,0,8,0.2,167,2,4,695,1958,1435,11,5,17,1,1,0,1
1248,0,2.1,1,18,1,48,0.2,181,1,9,1930,1646,2839,7,7,19,0,0,0,2
537,0,2.5,1,2,0,3,1.0,169,3,0,1249,521,1428,19,7,2,0,1,1,0
1395,1,2.1,1,1,0,16,0.3,153,7,15,1703,1622,3059,10,0,17,0,0,0,3
1332,0,1.8,0,0,0,22,0.2,88,6,10,1074,988,3044,18,10,8,0,1,0,3
722,1,2.0,1,7,0,55,1.0,132,2,7,83,1788,3824,12,8,20,1,0,1,2
1450,1,0.8,1,3,0,14,0.9,87,6,18,352,1661,749,8,17,2,1,0,0,0
1761,0,1.2,0,1,0,51,0.7,92,4,13,180,787,1615,10,7,5,1,0,1,0
658,0,1.8,0,4,0,64,0.6,123,6,12,1440,1039,3143,18,15,15,0,0,0,3
1584,0,2.7,1,19,0,62,0.9,136,2,3,1483,1730,1862,19,7,16,1,1,0,2
710,0,2.2,1,16,1,21,0.7,143,1,10,896,1880,2707,7,3,3,1,0,0,2
1623,0,0.7,1,0,1,8,0.7,188,3,14,1420,1404,3008,19,6,5,0,1,1,3
1128,1,2.0,0,18,0,15,0.9,172,8,19,1081,827,3566,17,16,8,1,1,0,3
509,0,1.1,0,4,1,50,0.7,131,5,12,1450,1083,1102,14,4,2,1,1,1,0
1949,0,2.3,1,8,1,14,0.6,120,1,3,1319,1692,1229,7,16,16,1,1,0,2
748,0,2.6,0,6,1,42,0.5,166,8,14,893,1396,2018,13,12,14,1,0,0,1
1394,1,2.0,1,8,0,25,0.6,113,7,1,1280,802,2150,11,14,16,1,1,0,1
772,0,2.0,1,15,0,50,0.6,186,5,6,624,928,3643,6,14,10,1,0,1,2
1899,0,1.3,0,14,0,40,0.4,174,6,19,1468,795,401,19,9,14,1,0,0,0
1607,1,1.6,1,11,0,38,0.5,162,2,16,1791,1203,1174,14,11,12,0,1,1,1
1706,0,2.7,0,12,0,51,0.8,110,5,18,405,1168,3671,6,1,15,0,1,1,3
1148,0,2.3,0,14,1,62,0.5,155,8,7,1308,1312,2556,10,13,10,1,1,1,2
1201,0,1.8,0,3,0,24,0.1,179,4,14,216,1916,2783,17,13,14,1,0,0,1
1451,0,1.4,1,7,1,35,0.4,88,1,14,740,1476,1190,11,1,14,1,0,0,1
1677,0,0.6,1,2,1,41,0.3,101,7,5,1312,1377,2587,12,9,14,0,1,0,3
1770,1,0.9,0,14,0,53,0.8,142,6,19,543,1048,1640,7,9,18,1,1,1,1
526,0,1.0,1,8,1,32,0.5,123,6,20,462,1451,2998,6,5,8,0,1,0,2
1495,0,1.4,1,12,0,25,0.4,165,6,2,752,1932,594,19,1,18,1,0,1,0
663,0,2.9,1,11,1,55,0.8,128,2,16,224,514,1320,19,0,2,1,1,1,0
931,1,1.8,1,5,1,62,0.1,200,1,9,1226,1024,2668,6,3,11,1,1,0,2
1744,1,1.1,1,2,1,37,0.3,116,7,14,257,584,2516,13,4,10,1,1,0,2
875,0,0.8,1,19,0,8,0.8,123,7,11,653,805,3401,15,4,18,1,1,0,2
1695,0,1.3,1,5,0,20,0.6,80,1,4,613,600,3253,18,11,2,1,0,1,3
1194,0,2.5,0,2,0,31,0.8,109,5,2,1898,1387,310,13,8,6,0,1,0,0
848,0,1.5,0,6,0,46,0.9,108,5,10,1944,1728,593,18,2,10,1,0,0,0
1001,0,2.4,0,18,0,44,0.9,172,3,17,155,1909,1582,6,1,17,1,1,0,0
1296,0,2.5,1,5,1,53,0.2,120,6,17,308,855,3844,5,12,10,1,1,0,3
1647,1,0.8,1,19,0,3,0.8,104,8,5,1435,1548,2042,11,17,14,0,0,1,2
1409,0,2.0,1,9,0,31,0.7,117,7,18,585,992,3594,8,15,5,1,1,1,3
1899,0,2.9,0,17,1,46,0.3,148,2,7,1263,973,477,16,14,19,0,1,1,1
1801,0,1.5,0,13,0,64,0.9,175,4,11,1805,1414,3860,10,6,16,0,0,1,3
1630,1,0.6,0,0,0,10,0.5,198,8,6,319,1517,484,11,13,2,1,0,0,0
1404,1,2.8,1,10,1,57,0.9,85,2,10,1889,1375,3281,13,1,15,0,0,1,3
934,0,2.7,0,8,1,2,0.6,181,7,11,102,649,3538,19,3,4,0,0,1,3
1118,0,1.8,0,4,1,14,0.6,127,4,14,448,1115,1357,6,2,12,1,1,0,1
678,1,1.9,1,10,0,55,0.2,177,5,9,995,928,1381,13,3,15,1,1,1,0
1061,1,1.0,0,2,1,51,0.9,84,3,11,1726,506,2432,10,6,19,1,0,0,2
1889,0,2.5,1,13,0,63,0.6,155,8,13,1086,560,2958,5,0,3,0,1,0,3
1138,1,1.7,1,16,0,39,0.1,192,5,8,272,1173,705,17,15,7,0,0,1,0
670,1,0.6,0,1,0,40,0.1,84,5,11,488,650,1142,18,13,15,0,1,1,0
1477,0,2.2,0,9,1,35,0.8,175,4,1,1493,1607,3078,7,12,6,0,0,0,3
1943,1,2.9,0,13,0,34,0.2,93,1,18,1101,584,3278,16,3,15,0,1,1,3
1801,0,2.6,0,1,0,34,0.6,198,7,2,25,852,831,15,16,5,0,1,1,1
911,0,1.2,0,7,0,20,0.7,170,3,18,983,1977,3585,15,0,5,0,0,1,3
1180,0,0.6,0,5,0,55,0.4,190,2,15,797,1561,3500,11,18,12,1,0,1,3
1296,0,2.9,0,0,0,24,0.6,188,7,19,1,1335,3504,9,13,15,1,0,0,3
871,1,2.8,1,16,0,40,0.3,118,2,0,485,522,1156,6,3,5,0,0,0,0
903,0,1.8,0,8,0,44,1.0,130,6,4,1834,565,2760,5,3,18,1,1,0,2
854,0,2.1,1,15,1,35,0.9,163,4,1,1380,1861,856,7,13,18,0,0,1,1
1991,0,1.7,1,11,1,40,0.4,101,7,8,138,1698,991,12,15,3,1,0,0,1
1619,1,1.5,0,17,1,5,0.6,117,1,18,31,1924,521,7,8,7,0,0,0,0
1761,1,0.8,1,19,1,21,0.6,91,7,16,678,1711,2101,15,1,12,1,1,1,2
1724,1,0.7,0,12,1,30,1.0,187,2,14,911,503,2918,14,9,11,0,1,0,3
1938,0,1.1,1,7,1,26,0.5,109,7,17,889,1707,999,10,9,6,0,0,0,1
657,1,2.6,0,8,0,59,0.6,129,3,0,1366,1186,952,6,6,12,1,0,1,0
1822,1,0.9,1,16,1,58,0.9,134,1,16,339,1537,1292,12,17,20,1,0,1,1
599,1,1.1,1,8,0,46,0.2,125,4,6,91,1120,995,17,6,7,1,0,0,0
1213,0,1.9,1,10,1,24,0.6,174,1,14,1319,1580,3373,10,4,6,1,0,1,3
1391,1,1.0,0,3,0,5,0.2,190,3,16,1759,1761,891,17,12,16,0,1,0,1
1036,0,0.9,1,19,0,49,0.7,149,6,14,328,1960,1298,9,11,12,1,0,0,0
719,0,1.9,1,13,1,57,0.4,181,5,8,708,1310,1400,6,11,15,1,1,1,1
788,0,1.4,1,6,0,32,1.0,93,6,12,1228,918,1014,14,9,14,1,0,0,0
1736,0,2.1,1,11,0,54,0.5,196,8,9,324,1416,3778,18,6,16,1,0,0,3
978,0,2.8,0,8,1,60,0.2,94,4,13,1686,1249,1040,18,4,15,1,0,0,1
965,0,0.9,0,3,0,36,0.9,88,5,9,442,803,2077,19,2,13,1,0,0,1
1885,0,2.8,1,17,0,15,0.8,82,1,8,1044,1586,2375,6,3,10,1,0,0,3
715,1,2.8,1,17,1,3,0.7,109,3,4,664,615,1232,5,10,10,0,1,0,0
1872,0,2.6,1,16,1,49,0.8,181,6,8,1308,1104,2019,13,7,7,0,1,1,1
1881,1,2.1,1,7,0,37,0.3,116,1,15,389,1537,893,19,14,10,0,1,0,0
1397,1,2.1,1,5,0,11,0.7,175,3,18,192,1880,2063,19,15,13,1,0,1,2
748,1,2.1,1,0,1,5,0.1,131,2,2,1001,1430,326,9,10,15,1,1,0,0
733,1,2.2,0,14,0,63,0.3,92,7,3,1696,1967,1899,10,1,16,0,1,1,2
927,0,0.5,0,6,0,22,0.9,137,5,10,1241,1747,1622,14,0,9,1,0,1,0
1366,1,2.9,0,17,0,22,0.8,108,6,14,1481,854,1568,18,4,15,1,0,1,1
730,1,2.0,1,17,1,41,0.3,115,6,3,849,1766,667,7,5,10,0,1,0,0
1183,0,2.5,1,2,0,24,0.2,142,2,6,274,1003,3994,19,1,8,0,0,0,3
673,0,1.4,1,18,0,59,1.0,175,1,0,837,1445,357,17,14,5,1,0,1,0
1310,1,0.5,0,2,0,44,0.2,151,4,1,1936,801,802,6,6,7,1,1,1,1
531,0,1.8,1,9,0,24,0.3,107,2,3,1532,1307,641,17,14,14,0,0,0,0
1563,0,1.8,1,9,1,18,0.3,166,3,15,1379,1518,3915,14,3,6,0,0,0,3
583,1,1.6,1,19,0,56,0.1,164,3,18,590,1870,1448,19,0,3,0,1,0,1
792,1,1.3,0,13,0,39,0.4,108,7,10,1175,1914,1869,8,2,7,1,1,1,1
761,0,1.1,0,17,0,59,1.0,183,3,3,1221,1701,3066,19,8,20,0,1,1,2
1746,1,1.8,0,11,1,23,0.4,182,2,19,1282,1337,444,5,9,4,0,0,1,0
580,0,1.4,1,16,1,3,0.6,153,8,5,1751,1822,506,6,8,4,1,0,1,0
1143,1,2.9,1,17,1,58,0.8,115,1,3,1336,658,939,11,18,9,1,0,0,0
1386,1,0.9,1,17,0,17,0.6,122,2,2,434,1992,2796,14,12,9,0,0,0,2
1273,0,1.3,0,8,0,55,0.8,133,3,7,434,805,3918,7,13,19,1,0,1,3
1521,0,1.2,0,7,0,46,0.7,102,1,15,1215,1104,2578,9,2,6,0,1,0,2
1704,1,1.9,1,19,0,16,0.6,117,8,8,1698,1860,3520,10,8,9,1,0,0,3
1090,0,1.7,0,15,1,49,0.7,96,3,9,1858,1574,3557,6,11,7,0,0,1,3
1742,0,2.1,1,18,1,7,0.8,98,7,7,1195,1773,1290,7,11,6,1,0,0,1
976,0,2.9,0,11,0,26,0.7,170,2,19,1038,1531,944,7,17,8,0,0,0,1
1976,1,1.2,1,18,1,24,0.8,95,5,14,1600,1401,855,19,9,6,1,0,1,1
1256,0,2.2,1,14,1,43,0.2,136,2,13,1915,761,3228,19,7,15,0,0,0,2
1604,1,0.6,1,14,0,35,0.7,131,2,9,54,1993,2761,14,17,17,0,1,0,2
1812,1,1.2,0,3,1,40,0.8,85,4,11,608,1454,3493,15,6,5,1,0,1,3
1688,0,1.7,1,11,0,32,0.4,180,7,18,654,1501,2154,7,10,11,0,0,0,2
1776,1,0.6,1,14,0,48,0.9,199,3,13,1106,1141,3910,5,0,7,1,1,1,3
1304,1,2.0,1,15,0,12,0.4,157,7,17,578,1927,3602,10,3,18,1,0,1,3
565,0,2.2,0,19,1,47,0.3,161,1,0,609,1175,3282,19,1,3,0,0,1,2
1239,1,2.4,1,6,1,5,0.9,108,3,18,47,785,3262,12,7,9,0,0,0,2
772,0,1.8,0,6,0,7,0.3,182,5,19,7,770,719,17,17,8,0,1,0,0
1833,0,2.0,0,19,1,47,0.5,174,4,14,882,1546,3043,10,1,8,1,1,0,3
855,0,1.5,1,19,0,11,0.4,133,5,20,1955,1616,3801,9,18,19,1,1,1,3
842,1,0.6,1,3,0,50,0.9,165,6,11,579,808,1349,17,16,12,0,1,1,0
874,1,0.7,0,7,0,10,0.5,195,1,5,470,1546,3306,12,0,9,0,0,0,2
1463,0,2.1,0,18,1,11,0.7,152,6,12,518,1995,1566,15,0,17,0,0,1,2
